bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_235,"Kennington Road, Vauxhall",51.495718,-0.110889,5,26,36,True,False
BikePoints_236,"Fashion Street, Whitechapel",51.51838,-0.073438,5,21,30,True,False
BikePoints_237,"Dock Street, Wapping",51.509786,-0.068161,7,21,30,True,False
BikePoints_238,"Frampton Street, Paddington",51.523353,-0.175116,29,0,32,True,False
BikePoints_239,"Warren Street Station, Euston",51.524438,-0.138019,4,17,26,True,False
BikePoints_240,"Colombo Street, Southwark",51.505459,-0.105692,12,1,14,True,False
BikePoints_242,"Beaumont Street, Marylebone",51.522008,-0.151359,5,12,23,True,False
BikePoints_243,"Gloucester Street, Pimlico",51.490962,-0.139625,23,0,25,True,False
BikePoints_244,"Bucknall Street, Covent Garden",51.51615,-0.128417,0,15,18,True,False
BikePoints_245,"Grosvenor Road, Pimlico",51.485357,-0.142207,9,19,29,True,False
BikePoints_246,"Berry Street, Clerkenwell",51.522853,-0.099994,24,15,41,True,False
BikePoints_247,"St. John's Wood Church, The Regent's Park",51.530529,-0.167515,22,26,50,True,False
BikePoints_248,"Triangle Car Park, Hyde Park",51.506451,-0.170279,3,22,27,True,False
BikePoints_249,"Harper Road, The Borough",51.498597,-0.096191,21,19,42,True,False
BikePoints_250,"Royal Avenue 1, Chelsea",51.489932,-0.162727,0,9,10,True,False
BikePoints_251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,19,6,34,True,False
BikePoints_253,"Shoreditch Park, Hoxton",51.534042,-0.086379,22,4,30,True,False
BikePoints_255,"Clifton Road, Maida Vale",51.525575,-0.179592,13,7,22,True,False
BikePoints_256,"Houghton Street, Strand",51.51362,-0.116764,0,12,15,True,False
BikePoints_257,"Westminster University, Marylebone",51.522481,-0.154907,3,13,16,True,False
BikePoints_258,"Kensington Gore, Knightsbridge",51.501432,-0.178656,0,23,23,True,False
BikePoints_259,"Bourne Street, Belgravia",51.490959,-0.153233,15,1,16,True,False
BikePoints_260,"Broadwick Street, Soho",51.513684,-0.13558,1,14,18,True,False
BikePoints_261,"Princes Square, Bayswater",51.513489,-0.191351,16,0,16,True,False
BikePoints_262,"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,19,12,35,True,False
BikePoints_263,"St. Mary Axe, Aldgate",51.514225,-0.08066,0,18,21,True,False
BikePoints_264,"Tysoe Street, Clerkenwell",51.526443,-0.109256,12,3,20,True,False
BikePoints_265,"Southwick Street, Paddington",51.515953,-0.169249,13,0,17,True,False
BikePoints_266,"Queen's Gate (North), Kensington",51.501026,-0.180246,0,41,41,True,False
BikePoints_267,"Regency Street, Westminster",51.49206,-0.132224,5,16,22,True,False
BikePoints_268,"Belgrave Road, Victoria",51.493204,-0.144132,20,7,29,True,False
BikePoints_269,"Empire Square, The Borough",51.500823,-0.08974,31,14,46,True,False
BikePoints_271,"London Zoo,  The Regent's Park",51.535836,-0.156285,12,16,32,True,False
BikePoints_272,"Baylis Road, Waterloo",51.501444,-0.110699,13,5,22,True,False
BikePoints_273,"Belvedere Road 1, South Bank",51.506133,-0.114686,35,1,38,True,False
BikePoints_274,"Warwick Road, Olympia",51.496712,-0.205284,9,25,36,True,False
BikePoints_275,"Barbican Centre, Barbican",51.520044,-0.092176,1,14,19,True,False
BikePoints_276,"Lower Thames Street, Monument",51.509301,-0.084985,0,23,24,True,False
BikePoints_277,"Kensington Church Street, Kensington",51.503157,-0.191496,2,14,17,True,False
BikePoints_278,"Tooley Street, Bermondsey",51.503493,-0.07962,8,16,27,True,False
BikePoints_279,"North Wharf Road, Paddington",51.518623,-0.176603,2,18,23,True,False
BikePoints_280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,1,9,10,True,False
BikePoints_281,"Smith Square, Westminster",51.495805,-0.127575,3,14,18,True,False
BikePoints_282,"Royal London Hospital, Whitechapel",51.518675,-0.06111,36,5,42,True,False
BikePoints_283,"Kingsway, Covent Garden",51.514409,-0.118478,1,13,16,True,False
BikePoints_284,"Lambeth North Station, Waterloo",51.49914,-0.112031,11,7,20,True,False
BikePoints_286,"St. John's Wood Road, St. John's Wood",51.527294,-0.174653,8,26,35,True,False
BikePoints_287,"Bedford Way, Bloomsbury",51.523673,-0.128377,16,6,23,True,False
BikePoints_288,"Elizabeth Bridge, Victoria",51.492369,-0.147478,13,17,34,True,False
BikePoints_289,"South Audley Street, Mayfair",51.50923,-0.151289,7,7,15,True,False
BikePoints_290,"St Mary's Hospital, Paddington",51.518268,-0.171103,4,12,20,True,False
BikePoints_291,"Claverton Street, Pimlico",51.484839,-0.138089,23,6,32,True,False
BikePoints_292,"Montpelier Street, Knightsbridge",51.498884,-0.165471,5,9,16,True,False
BikePoints_293,"Kensington Olympia Station, Olympia",51.498157,-0.209494,12,11,25,True,False
BikePoints_294,"St. George's Square, Pimlico",51.488226,-0.135635,12,1,16,True,False
BikePoints_295,"Swan Street, The Borough",51.500296,-0.092762,6,20,27,True,False
BikePoints_296,"Knaresborough Place, Earl's Court",51.493631,-0.190603,17,0,18,True,False
BikePoints_297,"Geraldine Street, Elephant & Castle",51.496127,-0.106,12,4,17,True,False
BikePoints_298,"Curlew Street, Shad Thames",51.502279,-0.074189,14,5,21,True,False
BikePoints_299,"Vincent Square, Westminster",51.493985,-0.136928,14,4,19,True,False
BikePoints_300,"Serpentine Car Park, Hyde Park",51.505014,-0.17306,3,8,18,True,False
BikePoints_301,"Marylebone Lane, Marylebone",51.514759,-0.148105,2,16,24,True,False
BikePoints_302,"Putney Pier, Wandsworth",51.466907,-0.216573,17,9,28,True,False
BikePoints_303,"Albert Gate, Hyde Park",51.502953,-0.158456,15,11,34,True,False
BikePoints_306,"Rathbone Street, Fitzrovia",51.518162,-0.135025,4,10,16,True,False
BikePoints_307,"Black Lion Gate, Kensington Gardens",51.509908,-0.187842,16,6,24,True,False
BikePoints_308,"Long Lane , Bermondsey",51.499075,-0.085666,5,14,20,True,False
BikePoints_309,"Embankment (Savoy), Strand",51.509631,-0.119047,25,14,41,True,False
BikePoints_310,"Black Prince Road, Vauxhall",51.490867,-0.116911,12,7,19,True,False
BikePoints_311,"Foley Street, Fitzrovia",51.519181,-0.140485,2,20,24,True,False
BikePoints_312,"Grove End Road, St. John's Wood",51.530889,-0.17677,9,7,20,True,False
BikePoints_313,"Wells Street, Fitzrovia",51.517344,-0.138072,1,34,38,True,False
BikePoints_314,"Tyers Gate, Bermondsey",51.500889,-0.083159,10,23,36,True,False
BikePoints_315,"The Tennis Courts, The Regent's Park",51.525367,-0.153463,5,11,16,True,False
BikePoints_316,"Warwick Row, Westminster",51.497998,-0.14296,3,11,21,True,False
BikePoints_317,"Dickens Square, Borough",51.496791,-0.093913,14,17,32,True,False
